Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV)
CCL-110,MTS,Au,72,2,71.915,6,-36.5
CCL-110,MTS,Au,72,4,45.319,6,-36.5
CCL-110,MTS,Au,24,0.5,100,8,11
CCL-110,MTS,Au,24,2,95.532,8,11
CCL-110,MTS,Au,24,4,93.192,8,11
CCL-110,MTS,Au,48,0.5,96.596,8,11
CCL-110,MTS,Au,48,2,90.426,8,11
CCL-110,MTS,Au,48,4,83.191,8,11
CCL-110,MTS,Au,72,0.5,92.34,8,11
CCL-110,MTS,Ag,72,2,88.085,8,11
CCL-110,MTS,Ag,72,4,74.468,8,11
CCL-110,MTS,Ag,24,0.5,93.8,6,-36.5
CCL-110,MTS,Ag,24,2,88.875,6,-36.5
CCL-110,MTS,Ag,24,4,74.468,6,-36.5
CCL-110,MTS,Ag,48,0.5,87.052,6,-36.5
CCL-110,MTS,Ag,48,2,75.198,6,-36.5
CCL-110,MTS,Ag,48,4,67.173,6,-36.5
CCL-110,MTS,Au,24,0.5,98.9,8,11
CCL-110,MTS,Au,24,2,97.629,8,11
CCL-110,MTS,Au,24,4,95.988,8,11
CCL-110,MTS,Au,48,0.5,98.941,8,11
CCL-110,MTS,Au,48,2,97.629,8,11
CCL-110,MTS,Au,48,4,95.076,8,11
CCL-110,MTS,Au,24,8,93.005,25,-28.4
CCL-110,MTS,Au,24,32,85.215,25,-28.4
CCL-110,MTS,Au,24,128,59.936,25,-28.4
CCL-110,MTS,Au,24,8,81.24,25,-5.63
CCL-110,MTS,Au,24,32,72.973,25,-5.63
CCL-110,MTS,Au,24,128,46.741,25,-5.63
CCL-110,MTS,Au,24,5,95.017,52,71.7
CCL-110,MTS,Au,24,10,73.09,52,71.7
HaCat,AlamarBlue,Ag,24,25,60.133,52,71.7
HaCat,AlamarBlue,Ag,24,50,49.169,52,71.7
HaCat,AlamarBlue,Ag,24,100,39.092,52,71.7
HaCat,AlamarBlue,Ag,48,5,93.245,52,71.7
HaCat,AlamarBlue,Ag,48,10,60.908,52,71.7
HaCat,AlamarBlue,Ag,48,25,47.841,52,71.7
HaCat,AlamarBlue,Ag,48,50,37.874,52,71.7
HaCat,AlamarBlue,Ag,48,100,26.91,52,71.7
HaCat,AlamarBlue,Ag,24,5,101.65,21.6,25.3
HaCat,AlamarBlue,Ag,24,10,82.234,21.6,25.3
HaCat,AlamarBlue,Ag,24,25,71.827,21.6,25.3
HaCat,AlamarBlue,Ag,24,50,59.518,21.6,25.3
HaCat,AlamarBlue,Ag,24,100,39.848,21.6,25.3
HaCat,AlamarBlue,Ag,24,5,97.387,21.6,25.3
HaCat,AlamarBlue,Ag,24,10,95.873,21.6,25.3
HaCat,AlamarBlue,Ag,24,25,92.71,21.6,25.3
HaCat,AlamarBlue,Ag,24,50,85.282,21.6,25.3
HaCat,AlamarBlue,Ag,24,100,81.568,21.6,25.3
HaCat,AlamarBlue,Ag,24,1,94.911,22,71.7
HaCat,AlamarBlue,Ag,24,2,80.407,22,71.7
HaCat,AlamarBlue,Ag,24,5,79.262,22,71.7
HaCat,AlamarBlue,Ag,24,10,58.779,22,71.7
HaCat,AlamarBlue,Ag,24,25,43.13,22,71.7
HaCat,AlamarBlue,Ag,24,50,20.229,22,71.7
HeLa,AlamarBlue,Ag,24,100,11.196,22,71.7
HeLa,AlamarBlue,Ag,24,1,93.13,22,71.7
HeLa,AlamarBlue,Ag,24,2,75.064,22,71.7
HeLa,AlamarBlue,Ag,24,5,70.483,22,71.7
HeLa,AlamarBlue,Ag,24,10,48.219,22,71.7
HeLa,AlamarBlue,Ag,24,25,33.461,22,71.7
HeLa,AlamarBlue,Ag,24,50,16.031,22,71.7
HeLa,AlamarBlue,Ag,24,100,8.7786,22,71.7
HeLa,AlamarBlue,Ag,24,1,98.588,22,71.7
HeLa,AlamarBlue,Ag,24,2,84.339,22,71.7
HeLa,AlamarBlue,Ag,24,5,69.576,22,71.7
HeLa,AlamarBlue,Ag,24,10,53.017,22,71.7
HeLa,AlamarBlue,Ag,24,25,38.768,22,71.7
HeLa,AlamarBlue,Ag,24,50,25.546,22,71.7
HeLa,AlamarBlue,Ag,24,100,15.661,22,71.7
HeLa,AlamarBlue,Ag,24,1,94.095,22,71.7
HeLa,AlamarBlue,Ag,24,2,77.535,22,71.7
HeLa,AlamarBlue,Ag,24,5,58.28,22,71.7
HeLa,AlamarBlue,Ag,24,10,44.673,22,71.7
HeLa,AlamarBlue,Ag,24,25,33.761,22,71.7
HeLa,AlamarBlue,Ag,24,50,20.796,22,71.7
HeLa,AlamarBlue,Ag,24,100,13.992,22,71.7
HeLa,AlamarBlue,Ag,24,0.5,109.73,30,-29.1
HeLa,AlamarBlue,Ag,24,1,103.7,30,-29.1
HaCat,NRU,Ag,24,5,97.86,30,-29.1
HaCat,NRU,Ag,24,20,84.241,30,-29.1
HaCat,NRU,Ag,24,30,56.42,30,-29.1
HaCat,NRU,Ag,24,40,19.844,30,-29.1
HaCat,NRU,Ag,24,50,4.2802,30,-29.1
HaCat,NRU,Ag,24,100,3.3074,30,-29.1
HaCat,NRU,Ag,48,0.5,104.67,30,-29.1
HaCat,NRU,Ag,48,1,101.36,30,-29.1
HaCat,NRU,Ag,48,5,65.564,30,-29.1
HaCat,NRU,Ag,48,20,27.821,30,-29.1
HaCat,NRU,Ag,48,30,2.9183,30,-29.1
HaCat,NRU,Ag,48,40,2.5292,30,-29.1
HaCat,NRU,Ag,48,50,1.1673,30,-29.1
HaCat,NRU,Ag,48,100,0.7782,30,-29.1
HaCat,NRU,Ag,48,5,89.744,9,-26.96
HaCat,NRU,Ag,48,10,85.755,9,-26.96
HaCat,NRU,Ag,48,100,7.9772,9,-26.96
HaCat,NRU,Ag,48,1000,9.6866,9,-26.96
HaCat,NRU,Ag,48,5,100.28,4.7,-57.5
HaCat,NRU,Ag,48,10,98.86,4.7,-57.5
HaCat,NRU,Ag,48,100,53.561,4.7,-57.5
HaCat,NRU,Ag,48,5,100.28,280,-73.8
HaCat,NRU,Ag,48,10,89.744,280,-73.8
HaCat,NRU,Ag,48,100,25.926,280,-73.8
HeLa,NRU,Ag,48,1000,23.077,280,-73.8
HeLa,NRU,Ag,48,5,93.162,270,-45.96
HeLa,NRU,Ag,48,10,94.872,270,-45.96
HeLa,NRU,Ag,48,100,94.872,270,-45.96
HeLa,NRU,Ag,48,1000,88.604,270,-45.96
HeLa,NRU,Ag,48,5,86.005,9,-26.96
HeLa,NRU,Ag,48,10,84.224,9,-26.96
HeLa,NRU,Ag,48,100,14.249,9,-26.96
HeLa,NRU,Ag,48,1000,7.888,9,-26.96
HeLa,NRU,Ag,48,5,100.25,4.7,-57.5
HeLa,NRU,Ag,48,10,82.952,4.7,-57.5
HeLa,NRU,Ag,48,100,68.957,4.7,-57.5
HeLa,NRU,Ag,48,5,98.982,280,-73.8
HeLa,NRU,Ag,48,10,82.952,280,-73.8
HeLa,NRU,Ag,48,100,27.481,280,-73.8
HeLa,NRU,Ag,48,1000,10.941,280,-73.8
HeLa,NRU,Ag,48,5,93.893,270,-45.96
HeLa,NRU,Ag,48,10,86.005,270,-45.96
HeLa,NRU,Ag,48,100,79.644,270,-45.96
HeLa,NRU,Ag,48,1000,52.672,270,-45.96
HeLa,NRU,Ag,72,50,95.017,20,-8.36
HeLa,NRU,Ag,72,100,99.336,20,-8
HeLa,NRU,Ag,72,500,81.063,20,-0.025
HeLa,NRU,Ag,72,1000,87.043,20,-9.165
HaCat,MTT,Ag,72,1000,196.68,20,-9.165
HaCat,MTT,Ag,72,1000,88.704,20,-9.165
HaCat,MTT,Ag,72,1000,92.359,50,0.73
HaCat,MTT,Ag,72,1000,98.339,20,-9.165
HaCat,MTT,Ag,24,0.5,102.52,27.1,-42.7
HaCat,MTT,Ag,24,5,87.815,27.1,-42.7
HaCat,MTT,Ag,24,10,79.503,27.1,-42.7
HaCat,MTT,Ag,24,25,73.748,27.1,-42.7
HaCat,MTT,Ag,24,50,39.645,27.1,-42.7
HaCat,MTT,Ag,24,75,14.494,27.1,-42.7
HaCat,MTT,Ag,24,100,14.92,27.1,-42.7
HaCat,MTT,Ag,48,0.5,102.52,27.1,-42.7
HaCat,MTT,Ag,48,5,96.128,27.1,-42.7
HaCat,MTT,Ag,48,10,85.258,27.1,-42.7
HaCat,MTT,Ag,48,25,73.108,27.1,-42.7
HaCat,MTT,Ag,48,50,35.169,27.1,-42.7
HaCat,MTT,Ag,48,75,6.1812,27.1,-42.7
HaCat,MTT,Ag,48,100,7.8863,27.1,-42.7
HaCat,MTT,Ag,24,0.5,107.48,27.7,-12.1
HaCat,MTT,Ag,24,5,100.62,27.7,-12.1
HaCat,MTT,Ag,24,10,101.25,27.7,-12.1
HaCat,MTT,Ag,24,25,97.921,27.7,-12.1
HaCat,MTT,Ag,24,50,99.792,27.7,-12.1
HaCat,MTT,Ag,24,75,111.64,27.7,-12.1
HeLa,MTT,Ag,24,100,112.06,27.7,-12.1
HeLa,MTT,Ag,48,0.5,107.48,27.7,-12.1
HeLa,MTT,Ag,48,5,85.031,27.7,-12.1
HeLa,MTT,Ag,48,10,85.031,27.7,-12.1
HeLa,MTT,Ag,48,25,71.726,27.7,-12.1
HeLa,MTT,Ag,48,50,69.231,27.7,-12.1
HeLa,MTT,Ag,48,75,65.073,27.7,-12.1
HeLa,MTT,Ag,48,100,66.528,27.7,-12.1
HeLa,MTT,Ag,24,7.8125,75.638,250,-24.7
HeLa,MTT,Ag,24,15.625,70.281,250,-24.7
HeLa,MTT,Ag,24,31.25,73.852,250,-24.7
HeLa,MTT,Ag,24,62.5,73.214,250,-24.7
HeLa,MTT,Ag,24,125,68.75,250,-24.7
HeLa,MTT,Ag,24,250,24.49,250,-24.7
HeLa,MTT,Ag,24,500,23.852,250,-24.7
HeLa,MTT,Ag,24,1000,32.398,250,-24.7
HeLa,MTT,Ag,24,1.56,98.236,12.5,20.02
HeLa,MTT,Ag,24,3.12,98.236,12.5,20.02
HeLa,MTT,Ag,24,6.25,96.649,12.5,20.02
HeLa,MTT,Ag,24,12.5,95.414,12.5,20.02
HeLa,MTT,Ag,24,25,95.414,12.5,20.02
HeLa,MTT,Ag,24,50,98.236,12.5,20.02
HeLa,MTT,Ag,24,100,96.12,12.5,20.02
HeLa,MTT,Ag,24,200,89.065,12.5,20.02
HeLa,MTT,Fe3O4,24,400,79.365,12.5,20.02
HeLa,MTT,Fe3O4,24,800,77.601,12.5,20.02
HeLa,MTT,Fe3O4,24,25,102.01,25,-13
HeLa,MTT,Fe3O4,24,50,104.01,25,-13
HeLa,MTT,Fe3O4,24,100,104.01,25,-13
HeLa,MTT,Fe3O4,24,200,106.02,25,-13
HeLa,MTT,Fe3O4,24,25,102.01,25,-13
HeLa,MTT,Fe3O4,24,50,98.997,25,-13
HeLa,MTT,Fe3O4,24,100,106.02,25,-13
HeLa,MTT,Fe3O4,24,200,107.02,25,-13
HeLa,MTT,Fe3O4,24,25,100,25,-13
HeLa,MTT,Fe3O4,24,50,104.05,25,-13
HeLa,MTT,Fe3O4,24,100,116.04,25,-13
HeLa,MTT,Fe3O4,24,200,112,25,-13
HeLa,MTT,Fe3O4,24,25,105.14,25,-13
HeLa,MTT,Fe3O4,24,50,107.94,25,-13
HeLa,MTT,Fe3O4,24,100,114.95,25,-13
HeLa,MTT,Fe3O4,24,200,111.06,25,-13
A549,MTT,Fe3O4,24,1,81.774,149.1,61.44
A549,MTT,Fe3O4,24,6.25,67.672,149.1,61.44
A549,MTT,Fe3O4,24,10,57.295,149.1,61.44
A549,MTT,Fe3O4,24,25,52.639,149.1,61.44
A549,MTT,Fe3O4,24,50,48.248,149.1,61.44
A549,MTT,Fe3O4,24,75,37.206,149.1,61.44
A549,MTT,Fe3O4,24,100,29.357,149.1,61.44
A549,MTT,Fe3O4,24,1,83.636,149.1,61.44
A549,MTT,Fe3O4,24,6.25,70.333,149.1,61.44
A549,MTT,Fe3O4,24,10,67.672,149.1,61.44
A549,MTT,Fe3O4,24,25,60.355,149.1,61.44
A549,MTT,Fe3O4,24,50,57.029,149.1,61.44
A549,MTT,Fe3O4,24,75,56.098,149.1,61.44
A549,MTT,Fe3O4,24,100,49.978,149.1,61.44
A549,MTT,Fe3O4,24,1,75.122,149.1,61.44
A549,MTT,Fe3O4,24,6.25,73.126,149.1,61.44
A549,MTT,Fe3O4,24,10,70.2,149.1,61.44
A549,MTT,Fe3O4,24,25,69.8,149.1,61.44
HEK293,MTT,Fe3O4,24,50,61.286,149.1,61.44
HEK293,MTT,Fe3O4,24,75,63.016,149.1,61.44
HEK293,MTT,Fe3O4,24,100,48.381,149.1,61.44
HEK293,MTT,Fe3O4,24,1,74.989,149.1,61.44
HEK293,MTT,Fe3O4,24,6.25,70.2,149.1,61.44
HEK293,MTT,Fe3O4,24,10,63.282,149.1,61.44
HEK293,MTT,Fe3O4,24,25,52.106,149.1,61.44
HEK293,MTT,Fe3O4,24,50,49.978,149.1,61.44
HEK293,MTT,Fe3O4,24,75,49.712,149.1,61.44
HEK293,MTT,Fe3O4,24,100,49.18,149.1,61.44
HEK293,MTT,Fe3O4,24,1,87.835,149.1,61.44
HEK293,MTT,Fe3O4,24,6.25,84.433,149.1,61.44
HUVEC,CCK-8,C,24,10,82.474,149.1,61.44
HUVEC,CCK-8,C,24,12.5,80.103,149.1,61.44
HUVEC,CCK-8,C,24,25,76.289,149.1,61.44
HUVEC,CCK-8,C,24,50,65.258,149.1,61.44
HUVEC,CCK-8,C,24,75,59.691,149.1,61.44
HUVEC,CCK-8,C,24,100,45.567,149.1,61.44
A549,MTT,ZnO,24,1,84.33,149.1,61.44
A549,MTT,ZnO,24,6.25,77.01,149.1,61.44
A549,MTT,ZnO,24,10,81.031,149.1,61.44
A549,MTT,ZnO,24,12.5,82.474,149.1,61.44
A549,MTT,ZnO,24,25,71.856,149.1,61.44
A549,MTT,ZnO,24,50,65.876,149.1,61.44
A549,MTT,ZnO,24,75,58.144,149.1,61.44
A549,MTT,ZnO,24,100,46.701,149.1,61.44
A549,MTT,ZnO,24,1,78.866,149.1,61.44
A549,MTT,ZnO,24,6.25,70.412,149.1,61.44
HepG2,MTS,NiO,24,10,68.144,149.1,61.44
HepG2,MTS,NiO,24,12.5,68.041,149.1,61.44
HepG2,MTS,NiO,24,25,68.041,149.1,61.44
HepG2,MTS,NiO,24,50,55.464,149.1,61.44
HepG2,MTS,NiO,24,75,52.062,149.1,61.44
HepG2,NRU,NiO,24,100,45.567,149.1,61.44
HepG2,NRU,NiO,24,1,83.402,149.1,61.44
HepG2,NRU,NiO,24,6.25,80,149.1,61.44
HepG2,NRU,NiO,24,10,78.454,149.1,61.44
HepG2,NRU,NiO,24,12.5,77.216,149.1,61.44
HEp-2,MTT,NiO,24,25,75.052,149.1,61.44
HEp-2,MTT,NiO,24,50,61.134,149.1,61.44
HEp-2,MTT,NiO,24,75,44.124,149.1,61.44
HEp-2,MTT,NiO,24,100,40.722,149.1,61.44
HEp-2,MTT,NiO,24,0.1,83.045,1.15,-36.5
HEp-2,MTT,NiO,24,1,48.789,1.15,-95.45
HEp-2,MTT,NiO,24,10,39.1,1.15,-95.45
MCF-7,MTT,NiO,24,100,25.087,1.15,-38.95
MCF-7,MTT,NiO,24,0.1,84.602,3,-36.5
MCF-7,MTT,NiO,24,1,61.419,3,17.6
MCF-7,MTT,NiO,24,10,54.152,3,10.4
MCF-7,MTT,NiO,24,100,46.367,3,-24.3
MCF-7,MTT,NiO,24,0.1,101.74,1.15,-34.15
MCF-7,MTT,NiO,24,1,98.364,1.15,-74.36
HEp-2,NRU,NiO,24,10,92.127,1.15,-8.72
HEp-2,NRU,NiO,24,100,76.892,1.15,-8.05
HEp-2,NRU,NiO,24,0.1,99.489,3,-74.36
HEp-2,NRU,NiO,24,1,98.875,3,-22.61
HEp-2,NRU,NiO,24,10,95.808,3,-8.72
HEp-2,NRU,NiO,24,100,88.139,3,-8
HEp-2,NRU,NiO,24,10,94.7,25,-0.4
MCF-7,NRU,NiO,24,10,98.396,30,-5.7
MCF-7,NRU,NiO,24,10,99.861,20,-5.3
MCF-7,NRU,NiO,24,30,92.748,25,-0.4
MCF-7,NRU,NiO,24,30,97.211,30,-5.7
MCF-7,NRU,NiO,24,30,94.561,20,-5.3
MCF-7,NRU,NiO,24,100,97.211,25,-0.4
MCF-7,NRU,NiO,24,100,97.559,30,-5.7
A549,CCK-8,CuO,24,100,96.025,20,-5.3
A549,CCK-8,CuO,24,300,91.423,25,-0.4
A549,CCK-8,CuO,24,300,100.35,30,-5.7
A549,CCK-8,CuO,24,300,98.047,20,-5.3
A549,CCK-8,CuO,24,10,98.467,25,-0.4
A549,CCK-8,CuO,24,10,104.89,30,-5.7
A549,CCK-8,CuO,24,10,104.89,20,-5.3
A549,CCK-8,CuO,24,30,101.15,25,-0.4
A549,CCK-8,CuO,24,30,91.667,30,-5.7
A549,CCK-8,CuO,24,30,110.82,20,-5.3
A549,CCK-8,CuO,24,100,111.49,25,-0.4
A549,CCK-8,CuO,24,100,105.75,30,-5.7
A549,CCK-8,CuO,24,100,115.9,20,-5.3
A549,CCK-8,CuO,24,300,120.98,25,-0.4
A549,CCK-8,CuO,24,300,115.9,30,-5.7
A549,CCK-8,CuO,24,300,108.62,20,-5.3
RAW264.7,Live/Dead,SiO2,24,10,102.89,25,-0.4
RAW264.7,Live/Dead,SiO2,24,10,99.036,30,-5.7
RAW264.7,Live/Dead,SiO2,24,10,100.37,20,-5.3
RAW264.7,Live/Dead,SiO2,24,30,101.71,25,-0.4
RAW264.7,Live/Dead,Au,24,30,98.887,30,-5.7
RAW264.7,Live/Dead,Au,24,30,99.555,20,-5.3
RAW264.7,Live/Dead,Au,24,100,100.52,25,-0.4
RAW264.7,Live/Dead,SiO2,24,100,97.329,30,-5.7
RAW264.7,Live/Dead,SiO2,24,100,102,20,-5.3
RAW264.7,Live/Dead,SiO2,24,300,102.67,25,-0.4
RAW264.7,Live/Dead,SiO2,24,300,97.997,30,-5.7
RAW264.7,Live/Dead,Au,24,300,99.703,20,-5.3
RAW264.7,Live/Dead,Au,24,0.001,92.5258,267,36.3
RAW264.7,Live/Dead,Au,24,0.01,96.134,267,36.3
RAW264.7,Live/Dead,Au,24,0.1,93.5567,267,36.3
RAW264.7,Live/Dead,SiO2,24,1,97.6804,267,36.3
RAW264.7,Live/Dead,SiO2,24,5,94.8454,267,36.3
RAW264.7,Live/Dead,SiO2,24,10,96.3918,267,36.3
RAW264.7,Live/Dead,SiO2,24,20,92.268,267,36.3
RAW264.7,Live/Dead,Au,24,50,92.268,267,36.3
RAW264.7,Live/Dead,Au,24,100,82.732,267,36.3
RAW264.7,Live/Dead,Au,12,0.001,95.6897,267,36.3
RAW264.7,Live/Dead,SiO2,12,0.01,94.4828,267,36.3
RAW264.7,Live/Dead,SiO2,12,0.1,96.8966,267,36.3
RAW264.7,Live/Dead,SiO2,12,1,99.4828,267,36.3
RAW264.7,Live/Dead,SiO2,12,5,94.6552,267,36.3
RAW264.7,Live/Dead,Au,12,10,95.431,267,36.3
RAW264.7,Live/Dead,Au,12,20,94.3966,267,36.3
RAW264.7,Live/Dead,Au,12,50,96.4655,267,36.3
RAW264.7,Live/Dead,Au,12,100,91.0345,267,36.3
MC3T3-E1,MTT,CaHCO3,24,0.001,96.134,239,42.8
MC3T3-E1,MTT,CaHCO3,24,0.01,100,239,42.8
MC3T3-E1,MTT,CaHCO3,24,0.1,95.3608,239,42.8
MC3T3-E1,MTT,CaHCO3,24,1,96.6495,239,42.8
MC3T3-E1,MTT,CaHCO3,24,5,74.7423,239,42.8
MC3T3-E1,MTT,CaHCO3,24,10,43.299,239,42.8
MC3T3-E1,MTT,CaHCO3,24,20,15.2062,239,42.8
MC3T3-E1,MTT,CaHCO3,24,50,13.6598,239,42.8
HaCat,MTT,Ag,24,100,13.6598,239,42.8
HaCat,MTT,Ag,12,0.001,96.9828,239,42.8
HaCat,MTT,Ag,12,0.01,94.6552,239,42.8
HaCat,MTT,Ag,12,0.1,95.431,239,42.8
HaCat,MTT,Ag,12,1,98.2759,239,42.8
HaCat,MTT,Ag,12,5,82.2414,239,42.8
HaCat,MTT,Ag,12,10,62.3276,239,42.8
HaCat,MTT,Ag,12,20,44.4828,239,42.8
HaCat,MTT,Ag,12,50,15.7759,239,42.8
HaCat,MTT,Ag,12,100,13.9655,239,42.8
HaCat,MTT,Ag,24,0.001,96.8912,957,-8.2
HaCat,MTT,Ag,24,0.01,98.1865,957,-8.2
HaCat,MTT,Ag,24,0.1,100.2591,957,-8.2
HaCat,MTT,Ag,24,1,95.8549,957,-8.2
HaCat,MTT,Ag,24,5,90.9326,957,-8.2
HaCat,MTT,Ag,24,10,90.9326,957,-8.2
HaCat,MTT,Ag,24,20,94.3005,957,-8.2
HaCat,MTT,Ag,24,50,94.5596,957,-8.2
HaCat,MTT,Ag,24,100,91.9689,957,-8.2
HaCat,MTT,Ag,12,0.001,96.6234,957,-8.2
HaCat,MTT,Ag,12,0.01,96.3636,957,-8.2
HaCat,MTT,Ag,12,0.1,98.7013,957,-8.2
HaCat,MTT,Ag,12,1,98.7013,957,-8.2
HaCat,MTT,Ag,12,5,100.7792,957,-8.2
HaCat,MTT,Ag,12,10,100.4329,957,-8.2
HaCat,MTT,Ag,12,20,98.7013,957,-8.2
HaCat,MTT,Ag,12,50,99.7403,957,-8.2
HaCat,MTT,Ag,12,100,98.0087,957,-8.2
HGF,MTT,Cu,72,0,100,80,-35
HGF,MTT,Cu,72,1,95,80,-35
HGF,MTT,Cu,72,10,91,80,-35
HGF,MTT,Cu,72,100,88,80,-35
HGF,MTT,Cu,24,0,100,80,-35
HGF,MTT,Cu,24,1,96.376,80,-35
HGF,MTT,Cu,24,10,95.302,80,-35
HGF,MTT,Cu,24,100,93.691,80,-35
HT29,MTT,CeO2,24,0.001,99.4819,1025,1.7
HT29,MTT,CeO2,24,0.01,101.5544,1025,1.7
HT29,MTT,CeO2,24,0.1,93.5233,1025,1.7
HT29,MTT,CeO2,24,1,96.6321,1025,1.7
HT29,MTT,CeO2,24,5,91.9689,1025,1.7
HT29,MTT,CeO2,24,10,93.5233,1025,1.7
HT29,MTT,CeO2,24,20,90.1554,1025,1.7
HT29,MTT,CeO2,24,50,89.8964,1025,1.7
HT29,MTT,CeO2,24,100,93.7824,1025,1.7
HT29,MTT,CeO2,12,0.001,99.3939,1025,1.7
MCF-7,MTT,CeO2,12,0.01,96.2771,1025,1.7
MCF-7,MTT,CeO2,12,0.1,99.2208,1025,1.7
MCF-7,MTT,CeO2,12,1,101.2987,1025,1.7
MCF-7,MTT,CeO2,12,5,97.8355,1025,1.7
HT-1080,MTT,CeO2,12,10,100.7792,1025,1.7
HT-1080,MTT,CeO2,12,20,97.4892,1025,1.7
HT-1080,MTT,CeO2,12,50,99.5671,1025,1.7
HT-1080,MTT,CeO2,12,100,97.8355,1025,1.7
MCF-7,NRU,CeO2,24,0.01,91.5663,120,-47.6
MCF-7,NRU,CeO2,24,0.1,115.6627,120,-47.6
MCF-7,NRU,CeO2,24,1,101.4056,120,-47.6
MCF-7,NRU,CeO2,24,10,85.9438,120,-47.6
HT-1080,NRU,CeO2,24,25,94.9799,120,-47.6
HT-1080,NRU,CeO2,24,50,61.245,120,-47.6
HT-1080,NRU,CeO2,24,75,53.6145,120,-47.6
HT-1080,NRU,CeO2,24,100,67.8715,120,-47.6
HepG2,MTT,Bi2O3,24,0.01,107.4297,120,-47.6
HepG2,MTT,Bi2O3,24,0.1,107.6305,120,-47.6
HepG2,MTT,Bi2O3,24,1,113.253,120,-47.6
HepG2,MTT,Bi2O3,24,10,109.4377,120,-47.6
HepG2,MTT,Bi2O3,24,25,105.2209,120,-47.6
HepG2,MTT,Bi2O3,24,50,96.3855,120,-47.6
HepG2,MTT,Bi2O3,24,75,91.3655,120,-47.6
NRK-52E,MTT,Bi2O3,24,100,91.9679,120,-47.6
NRK-52E,MTT,Bi2O3,20,0,94.2,546,-38.7
NRK-52E,MTT,Bi2O3,20,1440,90.6,546,-38.7
NRK-52E,MTT,Bi2O3,20,0,94.1,546,-38.7
NRK-52E,MTT,Bi2O3,20,1440,85.6,546,-38.7
NRK-52E,MTT,Bi2O3,20,0,94.2,75.1,-29.5
NRK-52E,MTT,Bi2O3,20,200,91.9,75.1,-29.5
Caco-2,MTT,Bi2O3,20,0,94.1,75.1,-29.5
Caco-2,MTT,Bi2O3,20,200,91.6,75.1,-29.5
Caco-2,MTT,Bi2O3,24,0,101.28,79,-13.2
Caco-2,MTT,Bi2O3,24,0.001,102.24,79,-13.2
Caco-2,MTT,Bi2O3,24,0.01,101.28,79,-13.2
Caco-2,MTT,Bi2O3,24,0.1,96.48,79,-13.2
Caco-2,MTT,Bi2O3,24,1,98.4,79,-13.2
A549,MTT,Bi2O3,24,10,97.92,79,-13.2
A549,MTT,Bi2O3,24,100,99.36,79,-13.2
A549,MTT,Bi2O3,24,0,100,504.5,-10.7
A549,MTT,Bi2O3,24,20,90,504.5,-10.7
A549,MTT,Bi2O3,24,40,122.2222,504.5,-10.7
A549,MTT,Bi2O3,24,60,111.1111,504.5,-10.7
A549,MTT,Bi2O3,24,80,127.7778,504.5,-10.7
HepG2,NRU,Bi2O3,24,100,142.2222,504.5,-10.7
HepG2,NRU,Bi2O3,24,120,115.5556,504.5,-10.7
HepG2,NRU,Bi2O3,24,150,151.1111,504.5,-10.7
HepG2,NRU,Bi2O3,6,0,100,504.5,-10.7
HepG2,NRU,Bi2O3,6,20,116.6667,504.5,-10.7
HepG2,NRU,Bi2O3,6,40,110,504.5,-10.7
HepG2,NRU,Bi2O3,6,60,104.4444,504.5,-10.7
HepG2,NRU,Bi2O3,6,80,111.1111,504.5,-10.7
NRK-52E,NRU,Bi2O3,6,100,122.2222,504.5,-10.7
NRK-52E,NRU,Bi2O3,6,120,121.1111,504.5,-10.7
NRK-52E,NRU,Bi2O3,6,150,121.1111,504.5,-10.7
NRK-52E,NRU,Bi2O3,3,0,100,504.5,-10.7
NRK-52E,NRU,Bi2O3,3,20,110,504.5,-10.7
NRK-52E,NRU,Bi2O3,3,40,120,504.5,-10.7
NRK-52E,NRU,Bi2O3,3,60,115.5556,504.5,-10.7
NRK-52E,NRU,Bi2O3,3,80,114.4444,504.5,-10.7
Caco-2,NRU,Bi2O3,3,100,122.2222,504.5,-10.7
Caco-2,NRU,Bi2O3,3,120,121.1111,504.5,-10.7
Caco-2,NRU,Bi2O3,3,150,116.6667,504.5,-10.7
Caco-2,NRU,Bi2O3,24,0,100,504.5,-10.7
Caco-2,NRU,Bi2O3,24,20,82.2599,504.5,-10.7
Caco-2,NRU,Bi2O3,24,40,76.7232,504.5,-10.7
Caco-2,NRU,Bi2O3,24,60,83.8418,504.5,-10.7
Caco-2,NRU,Bi2O3,24,80,85.4237,504.5,-10.7
A549,NRU,Bi2O3,24,100,93.3333,504.5,-10.7
A549,NRU,Bi2O3,24,120,90.1695,504.5,-10.7
A549,NRU,Bi2O3,24,150,98.8701,504.5,-10.7
A549,NRU,Bi2O3,6,0,100,504.5,-10.7
A549,NRU,Bi2O3,6,20,90.1695,504.5,-10.7
A549,NRU,Bi2O3,6,40,103.6158,504.5,-10.7
A549,NRU,Bi2O3,6,60,88.5876,504.5,-10.7
A549,NRU,Bi2O3,6,80,96.4972,504.5,-10.7
PC12,MTT,C,6,100,115.4802,504.5,-10.7
PC12,MTT,C,6,120,95.7062,504.5,-10.7
PC12,MTT,C,6,150,118.6441,504.5,-10.7
PC12,MTT,C,3,0,100,504.5,-10.7
PC12,MTT,C,3,20,90.9605,504.5,-10.7
PC12,MTT,C,3,40,94.1243,504.5,-10.7
PC12,MTT,C,3,60,104.4068,504.5,-10.7
